Fiscal Year,Region,Gender,Race/Ethnicity,Same Race/Ethnicity as Adoptive Parent,Age Group,Consummated Adoptions
2017,6-Houston,Male,Hispanic,No,Birth to Five Years Old,43
2017,6-Houston,Male,Hispanic,No,Six to Twelve Years Old,30
2017,6-Houston,Male,Hispanic,No,Thirteen to Eighteen Years Old,8
2017,6-Houston,Male,Other,No,Birth to Five Years Old,27
2017,6-Houston,Male,Other,No,Six to Twelve Years Old,12
2017,6-Houston,Male,Other,No,Thirteen to Eighteen Years Old,1
2017,7-Austin,Female,African American,Yes,Birth to Five Years Old,28
2017,7-Austin,Female,African American,Yes,Six to Twelve Years Old,30
2017,7-Austin,Female,African American,Yes,Thirteen to Eighteen Years Old,4
2017,7-Austin,Female,African American,No,Birth to Five Years Old,15
2017,7-Austin,Female,African American,No,Six to Twelve Years Old,10
2017,7-Austin,Female,African American,No,Thirteen to Eighteen Years Old,1
2017,7-Austin,Female,Anglo,Yes,Birth to Five Years Old,73
2017,7-Austin,Female,Anglo,Yes,Six to Twelve Years Old,51
2017,7-Austin,Female,Anglo,Yes,Thirteen to Eighteen Years Old,14
2017,7-Austin,Female,Anglo,No,Birth to Five Years Old,19
2017,7-Austin,Female,Anglo,No,Six to Twelve Years Old,9
2017,7-Austin,Female,Anglo,No,Thirteen to Eighteen Years Old,4
2017,7-Austin,Female,Asian,No,Thirteen to Eighteen Years Old,3
2017,7-Austin,Female,Hispanic,Yes,Birth to Five Years Old,28
2017,7-Austin,Female,Hispanic,Yes,Six to Twelve Years Old,20
2017,7-Austin,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,2
2017,7-Austin,Female,Hispanic,No,Birth to Five Years Old,59
2017,7-Austin,Female,Hispanic,No,Six to Twelve Years Old,32
2017,7-Austin,Female,Hispanic,No,Thirteen to Eighteen Years Old,8
2017,7-Austin,Female,Other,No,Birth to Five Years Old,23
2017,7-Austin,Female,Other,No,Six to Twelve Years Old,5
2017,7-Austin,Female,Other,No,Thirteen to Eighteen Years Old,3
2017,7-Austin,Male,African American,Yes,Birth to Five Years Old,29
2017,7-Austin,Male,African American,Yes,Six to Twelve Years Old,17
2017,7-Austin,Male,African American,Yes,Thirteen to Eighteen Years Old,4
2017,7-Austin,Male,African American,No,Birth to Five Years Old,24
2017,7-Austin,Male,African American,No,Six to Twelve Years Old,6
2017,7-Austin,Male,African American,No,Thirteen to Eighteen Years Old,5
2017,7-Austin,Male,Anglo,Yes,Birth to Five Years Old,67
2017,7-Austin,Male,Anglo,Yes,Six to Twelve Years Old,36
2017,7-Austin,Male,Anglo,Yes,Thirteen to Eighteen Years Old,13
2017,7-Austin,Male,Anglo,No,Birth to Five Years Old,28
2017,7-Austin,Male,Anglo,No,Six to Twelve Years Old,12
2017,7-Austin,Male,Anglo,No,Thirteen to Eighteen Years Old,2
2017,7-Austin,Male,Hispanic,Yes,Birth to Five Years Old,36
2017,7-Austin,Male,Hispanic,Yes,Six to Twelve Years Old,23
2017,7-Austin,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,1
2017,7-Austin,Male,Hispanic,No,Birth to Five Years Old,57
2017,7-Austin,Male,Hispanic,No,Six to Twelve Years Old,31
2017,7-Austin,Male,Hispanic,No,Thirteen to Eighteen Years Old,6
2017,7-Austin,Male,Native American,No,Thirteen to Eighteen Years Old,1
2017,7-Austin,Male,Other,No,Birth to Five Years Old,14
2017,7-Austin,Male,Other,No,Six to Twelve Years Old,9
2017,7-Austin,Male,Other,No,Thirteen to Eighteen Years Old,4
2017,8-San Antonio,Female,African American,Yes,Birth to Five Years Old,7
2017,8-San Antonio,Female,African American,Yes,Six to Twelve Years Old,1
2017,8-San Antonio,Female,African American,Yes,Thirteen to Eighteen Years Old,1
2017,8-San Antonio,Female,African American,No,Birth to Five Years Old,12
2017,8-San Antonio,Female,African American,No,Six to Twelve Years Old,3
2017,8-San Antonio,Female,African American,No,Thirteen to Eighteen Years Old,1
2017,8-San Antonio,Female,Anglo,Yes,Birth to Five Years Old,26
2017,8-San Antonio,Female,Anglo,Yes,Six to Twelve Years Old,18
2017,8-San Antonio,Female,Anglo,Yes,Thirteen to Eighteen Years Old,5
2017,8-San Antonio,Female,Anglo,No,Birth to Five Years Old,14
2017,8-San Antonio,Female,Anglo,No,Six to Twelve Years Old,6
2017,8-San Antonio,Female,Hispanic,Yes,Birth to Five Years Old,111
2017,8-San Antonio,Female,Hispanic,Yes,Six to Twelve Years Old,82
2017,8-San Antonio,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,39
2017,8-San Antonio,Female,Hispanic,No,Birth to Five Years Old,72
2017,8-San Antonio,Female,Hispanic,No,Six to Twelve Years Old,46
2017,8-San Antonio,Female,Hispanic,No,Thirteen to Eighteen Years Old,12
2017,8-San Antonio,Female,Native American,No,Birth to Five Years Old,1
2017,8-San Antonio,Female,Other,No,Birth to Five Years Old,11
2017,8-San Antonio,Female,Other,No,Six to Twelve Years Old,1
2017,8-San Antonio,Female,Other,No,Thirteen to Eighteen Years Old,2
2017,8-San Antonio,Male,African American,Yes,Birth to Five Years Old,9
2017,8-San Antonio,Male,African American,Yes,Six to Twelve Years Old,11
2017,8-San Antonio,Male,African American,Yes,Thirteen to Eighteen Years Old,5
2017,8-San Antonio,Male,African American,No,Birth to Five Years Old,7
2017,8-San Antonio,Male,African American,No,Six to Twelve Years Old,4
2017,8-San Antonio,Male,African American,No,Thirteen to Eighteen Years Old,3
2017,8-San Antonio,Male,Anglo,Yes,Birth to Five Years Old,22
2017,8-San Antonio,Male,Anglo,Yes,Six to Twelve Years Old,23
2017,8-San Antonio,Male,Anglo,Yes,Thirteen to Eighteen Years Old,8
2017,8-San Antonio,Male,Anglo,No,Birth to Five Years Old,14
2017,8-San Antonio,Male,Anglo,No,Six to Twelve Years Old,11
2017,8-San Antonio,Male,Anglo,No,Thirteen to Eighteen Years Old,2
2017,8-San Antonio,Male,Hispanic,Yes,Birth to Five Years Old,126
2017,8-San Antonio,Male,Hispanic,Yes,Six to Twelve Years Old,90
2017,8-San Antonio,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,34
2017,8-San Antonio,Male,Hispanic,No,Birth to Five Years Old,80
2017,8-San Antonio,Male,Hispanic,No,Six to Twelve Years Old,45
2017,8-San Antonio,Male,Hispanic,No,Thirteen to Eighteen Years Old,12
2017,8-San Antonio,Male,Other,No,Birth to Five Years Old,11
2017,8-San Antonio,Male,Other,No,Six to Twelve Years Old,5
2017,8-San Antonio,Male,Other,No,Thirteen to Eighteen Years Old,1
2017,9-Midland,Female,African American,Yes,Six to Twelve Years Old,1
2017,9-Midland,Female,African American,No,Birth to Five Years Old,1
2017,9-Midland,Female,African American,No,Six to Twelve Years Old,1
2017,9-Midland,Female,Anglo,Yes,Birth to Five Years Old,11
2017,9-Midland,Female,Anglo,Yes,Six to Twelve Years Old,13
2017,9-Midland,Female,Anglo,Yes,Thirteen to Eighteen Years Old,2
2017,9-Midland,Female,Anglo,No,Birth to Five Years Old,7
2017,9-Midland,Female,Anglo,No,Six to Twelve Years Old,1
2017,9-Midland,Female,Hispanic,Yes,Birth to Five Years Old,10
2017,9-Midland,Female,Hispanic,Yes,Six to Twelve Years Old,5
2017,9-Midland,Female,Hispanic,No,Birth to Five Years Old,20
2017,9-Midland,Female,Hispanic,No,Six to Twelve Years Old,15
2017,9-Midland,Female,Hispanic,No,Thirteen to Eighteen Years Old,1
2017,9-Midland,Female,Other,No,Birth to Five Years Old,3
2017,9-Midland,Female,Other,No,Six to Twelve Years Old,4
2017,9-Midland,Female,Other,No,Thirteen to Eighteen Years Old,4
2017,9-Midland,Male,African American,Yes,Birth to Five Years Old,3
2017,9-Midland,Male,African American,Yes,Six to Twelve Years Old,1
2017,9-Midland,Male,African American,No,Birth to Five Years Old,4
2017,9-Midland,Male,African American,No,Six to Twelve Years Old,2
2017,9-Midland,Male,African American,No,Thirteen to Eighteen Years Old,2
2017,9-Midland,Male,Anglo,Yes,Birth to Five Years Old,15
2017,9-Midland,Male,Anglo,Yes,Six to Twelve Years Old,12
2017,9-Midland,Male,Anglo,Yes,Thirteen to Eighteen Years Old,4
2017,9-Midland,Male,Anglo,No,Birth to Five Years Old,6
2017,9-Midland,Male,Anglo,No,Six to Twelve Years Old,2
2017,9-Midland,Male,Anglo,No,Thirteen to Eighteen Years Old,3
2017,9-Midland,Male,Hispanic,Yes,Birth to Five Years Old,17
2017,9-Midland,Male,Hispanic,Yes,Six to Twelve Years Old,8
2017,9-Midland,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,3
2017,9-Midland,Male,Hispanic,No,Birth to Five Years Old,17
2017,9-Midland,Male,Hispanic,No,Six to Twelve Years Old,13
2017,9-Midland,Male,Hispanic,No,Thirteen to Eighteen Years Old,5
2017,9-Midland,Male,Other,No,Birth to Five Years Old,3
2017,9-Midland,Male,Other,No,Six to Twelve Years Old,1
2017,9-Midland,Male,Other,No,Thirteen to Eighteen Years Old,3
2017,10-El Paso,Female,African American,No,Thirteen to Eighteen Years Old,1
2017,10-El Paso,Female,Anglo,Yes,Thirteen to Eighteen Years Old,1
2017,10-El Paso,Female,Anglo,No,Birth to Five Years Old,1
2017,10-El Paso,Female,Hispanic,Yes,Birth to Five Years Old,10
2017,10-El Paso,Female,Hispanic,Yes,Six to Twelve Years Old,13
2017,10-El Paso,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,5
2017,10-El Paso,Female,Hispanic,No,Birth to Five Years Old,8
2017,10-El Paso,Female,Hispanic,No,Six to Twelve Years Old,4
2017,10-El Paso,Female,Hispanic,No,Thirteen to Eighteen Years Old,2
2017,10-El Paso,Female,Other,No,Birth to Five Years Old,1
2017,10-El Paso,Female,Other,No,Six to Twelve Years Old,1
2017,10-El Paso,Male,African American,Yes,Thirteen to Eighteen Years Old,1
2017,10-El Paso,Male,African American,No,Six to Twelve Years Old,1
2017,10-El Paso,Male,Anglo,Yes,Six to Twelve Years Old,1
2017,10-El Paso,Male,Anglo,No,Birth to Five Years Old,4
2017,10-El Paso,Male,Anglo,No,Six to Twelve Years Old,1
2017,10-El Paso,Male,Hispanic,Yes,Birth to Five Years Old,9
2017,10-El Paso,Male,Hispanic,Yes,Six to Twelve Years Old,17
2017,10-El Paso,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,6
2017,10-El Paso,Male,Hispanic,No,Birth to Five Years Old,14
2017,10-El Paso,Male,Hispanic,No,Six to Twelve Years Old,3
2017,10-El Paso,Male,Hispanic,No,Thirteen to Eighteen Years Old,1
2017,10-El Paso,Male,Native American,No,Thirteen to Eighteen Years Old,1
2017,10-El Paso,Male,Other,No,Birth to Five Years Old,3
2017,10-El Paso,Male,Other,No,Six to Twelve Years Old,1
2017,10-El Paso,Male,Other,No,Thirteen to Eighteen Years Old,2
2017,11-Edinburg,Female,Anglo,Yes,Birth to Five Years Old,5
2017,11-Edinburg,Female,Anglo,Yes,Six to Twelve Years Old,1
2017,11-Edinburg,Female,Anglo,Yes,Thirteen to Eighteen Years Old,2
2017,11-Edinburg,Female,Anglo,No,Birth to Five Years Old,4
2017,11-Edinburg,Female,Anglo,No,Six to Twelve Years Old,2
2017,11-Edinburg,Female,Hispanic,Yes,Birth to Five Years Old,25
2017,11-Edinburg,Female,Hispanic,Yes,Six to Twelve Years Old,18
2017,11-Edinburg,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,7
2017,11-Edinburg,Female,Hispanic,No,Birth to Five Years Old,11
2017,11-Edinburg,Female,Hispanic,No,Six to Twelve Years Old,4
2017,11-Edinburg,Female,Hispanic,No,Thirteen to Eighteen Years Old,3
2017,11-Edinburg,Female,Other,No,Birth to Five Years Old,1
2017,11-Edinburg,Male,African American,No,Birth to Five Years Old,1
2017,11-Edinburg,Male,African American,No,Six to Twelve Years Old,1
2017,11-Edinburg,Male,Anglo,Yes,Birth to Five Years Old,3
2017,11-Edinburg,Male,Anglo,Yes,Six to Twelve Years Old,1
2017,11-Edinburg,Male,Anglo,No,Birth to Five Years Old,4
2017,11-Edinburg,Male,Anglo,No,Six to Twelve Years Old,1
2017,11-Edinburg,Male,Hispanic,Yes,Birth to Five Years Old,39
2017,11-Edinburg,Male,Hispanic,Yes,Six to Twelve Years Old,20
2017,11-Edinburg,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,5
2017,11-Edinburg,Male,Hispanic,No,Birth to Five Years Old,17
2017,11-Edinburg,Male,Hispanic,No,Six to Twelve Years Old,10
2017,11-Edinburg,Male,Hispanic,No,Thirteen to Eighteen Years Old,1
2017,11-Edinburg,Male,Other,No,Six to Twelve Years Old,3
2016,1-Lubbock,Female,African American,Yes,Birth to Five Years Old,7
2016,1-Lubbock,Female,African American,Yes,Six to Twelve Years Old,4
2016,1-Lubbock,Female,African American,Yes,Thirteen to Eighteen Years Old,1
2016,1-Lubbock,Female,African American,No,Birth to Five Years Old,10
2016,1-Lubbock,Female,African American,No,Six to Twelve Years Old,1
2016,1-Lubbock,Female,African American,No,Thirteen to Eighteen Years Old,2
2016,1-Lubbock,Female,Anglo,Yes,Birth to Five Years Old,26
2016,1-Lubbock,Female,Anglo,Yes,Six to Twelve Years Old,10
2016,1-Lubbock,Female,Anglo,Yes,Thirteen to Eighteen Years Old,8
2016,1-Lubbock,Female,Anglo,No,Birth to Five Years Old,7
2016,1-Lubbock,Female,Anglo,No,Six to Twelve Years Old,3
2016,1-Lubbock,Female,Anglo,No,Thirteen to Eighteen Years Old,4
2016,1-Lubbock,Female,Hispanic,Yes,Birth to Five Years Old,27
2016,1-Lubbock,Female,Hispanic,Yes,Six to Twelve Years Old,28
2016,1-Lubbock,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,10
2016,1-Lubbock,Female,Hispanic,No,Birth to Five Years Old,24
2016,1-Lubbock,Female,Hispanic,No,Six to Twelve Years Old,28
2016,1-Lubbock,Female,Hispanic,No,Thirteen to Eighteen Years Old,13
2016,1-Lubbock,Female,Native American,No,Birth to Five Years Old,1
2016,1-Lubbock,Female,Other,No,Birth to Five Years Old,4
2016,1-Lubbock,Female,Other,No,Six to Twelve Years Old,5
2016,1-Lubbock,Female,Other,No,Thirteen to Eighteen Years Old,2
2016,1-Lubbock,Male,African American,Yes,Birth to Five Years Old,4
2016,1-Lubbock,Male,African American,Yes,Six to Twelve Years Old,4
2016,1-Lubbock,Male,African American,Yes,Thirteen to Eighteen Years Old,3
2016,1-Lubbock,Male,African American,No,Birth to Five Years Old,4
2016,1-Lubbock,Male,African American,No,Six to Twelve Years Old,3
2016,1-Lubbock,Male,Anglo,Yes,Birth to Five Years Old,20
2016,1-Lubbock,Male,Anglo,Yes,Six to Twelve Years Old,21
2016,1-Lubbock,Male,Anglo,Yes,Thirteen to Eighteen Years Old,5
2016,1-Lubbock,Male,Anglo,No,Birth to Five Years Old,7
2016,1-Lubbock,Male,Anglo,No,Six to Twelve Years Old,2
2016,1-Lubbock,Male,Anglo,No,Thirteen to Eighteen Years Old,1
2016,1-Lubbock,Male,Hispanic,Yes,Birth to Five Years Old,29
2016,1-Lubbock,Male,Hispanic,Yes,Six to Twelve Years Old,22
2016,1-Lubbock,Male,Hispanic,No,Birth to Five Years Old,43
2016,1-Lubbock,Male,Hispanic,No,Six to Twelve Years Old,28
2016,1-Lubbock,Male,Hispanic,No,Thirteen to Eighteen Years Old,2
2016,1-Lubbock,Male,Other,No,Birth to Five Years Old,8
2016,1-Lubbock,Male,Other,No,Six to Twelve Years Old,5
2016,1-Lubbock,Male,Other,No,Thirteen to Eighteen Years Old,2
2016,2-Abilene,Female,African American,No,Birth to Five Years Old,3
2016,2-Abilene,Female,African American,No,Six to Twelve Years Old,2
2016,2-Abilene,Female,Anglo,Yes,Birth to Five Years Old,13
2016,2-Abilene,Female,Anglo,Yes,Six to Twelve Years Old,6
2016,2-Abilene,Female,Anglo,Yes,Thirteen to Eighteen Years Old,4
2016,2-Abilene,Female,Anglo,No,Birth to Five Years Old,2
2016,2-Abilene,Female,Anglo,No,Six to Twelve Years Old,1
2016,2-Abilene,Female,Hispanic,Yes,Birth to Five Years Old,4
2016,2-Abilene,Female,Hispanic,Yes,Six to Twelve Years Old,2
2016,2-Abilene,Female,Hispanic,No,Birth to Five Years Old,8
2016,2-Abilene,Female,Hispanic,No,Six to Twelve Years Old,4
2016,2-Abilene,Female,Hispanic,No,Thirteen to Eighteen Years Old,1
2016,2-Abilene,Female,Other,No,Birth to Five Years Old,4
2016,2-Abilene,Female,Other,No,Six to Twelve Years Old,1
2016,2-Abilene,Male,African American,Yes,Thirteen to Eighteen Years Old,1
2016,2-Abilene,Male,African American,No,Birth to Five Years Old,4
2016,2-Abilene,Male,Anglo,Yes,Birth to Five Years Old,14
2016,2-Abilene,Male,Anglo,Yes,Six to Twelve Years Old,6
2016,2-Abilene,Male,Anglo,Yes,Thirteen to Eighteen Years Old,2
2016,2-Abilene,Male,Anglo,No,Birth to Five Years Old,5
2016,2-Abilene,Male,Hispanic,Yes,Birth to Five Years Old,3
2016,2-Abilene,Male,Hispanic,Yes,Six to Twelve Years Old,1
2016,2-Abilene,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,1
2016,2-Abilene,Male,Hispanic,No,Birth to Five Years Old,13
2016,2-Abilene,Male,Hispanic,No,Six to Twelve Years Old,6
2016,2-Abilene,Male,Other,No,Birth to Five Years Old,2
2016,2-Abilene,Male,Other,No,Six to Twelve Years Old,1
2016,3-Arlington,Female,African American,Yes,Birth to Five Years Old,43
2016,3-Arlington,Female,African American,Yes,Six to Twelve Years Old,33
2016,3-Arlington,Female,African American,Yes,Thirteen to Eighteen Years Old,6
2016,3-Arlington,Female,African American,No,Birth to Five Years Old,33
2016,3-Arlington,Female,African American,No,Six to Twelve Years Old,6
2016,3-Arlington,Female,African American,No,Thirteen to Eighteen Years Old,2
2016,3-Arlington,Female,Anglo,Yes,Birth to Five Years Old,98
2016,3-Arlington,Female,Anglo,Yes,Six to Twelve Years Old,63
2016,3-Arlington,Female,Anglo,Yes,Thirteen to Eighteen Years Old,25
2016,3-Arlington,Female,Anglo,No,Birth to Five Years Old,20
2016,3-Arlington,Female,Anglo,No,Six to Twelve Years Old,12
2016,3-Arlington,Female,Anglo,No,Thirteen to Eighteen Years Old,5
2016,3-Arlington,Female,Asian,No,Birth to Five Years Old,1
2016,3-Arlington,Female,Asian,No,Six to Twelve Years Old,2
2016,3-Arlington,Female,Hispanic,Yes,Birth to Five Years Old,22
2016,3-Arlington,Female,Hispanic,Yes,Six to Twelve Years Old,19
2016,3-Arlington,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,2
2016,3-Arlington,Female,Hispanic,No,Birth to Five Years Old,62
2016,3-Arlington,Female,Hispanic,No,Six to Twelve Years Old,47
2016,3-Arlington,Female,Hispanic,No,Thirteen to Eighteen Years Old,9
2016,3-Arlington,Female,Native American,No,Six to Twelve Years Old,1
2016,3-Arlington,Female,Other,No,Birth to Five Years Old,24
2016,3-Arlington,Female,Other,No,Six to Twelve Years Old,15
2016,3-Arlington,Female,Other,No,Thirteen to Eighteen Years Old,3
2016,3-Arlington,Male,African American,Yes,Birth to Five Years Old,53
2016,3-Arlington,Male,African American,Yes,Six to Twelve Years Old,19
2016,3-Arlington,Male,African American,Yes,Thirteen to Eighteen Years Old,7
2016,3-Arlington,Male,African American,No,Birth to Five Years Old,30
2016,3-Arlington,Male,African American,No,Six to Twelve Years Old,12
2016,3-Arlington,Male,African American,No,Thirteen to Eighteen Years Old,2
2016,3-Arlington,Male,Anglo,Yes,Birth to Five Years Old,120
2016,3-Arlington,Male,Anglo,Yes,Six to Twelve Years Old,72
2016,3-Arlington,Male,Anglo,Yes,Thirteen to Eighteen Years Old,18
2016,3-Arlington,Male,Anglo,No,Birth to Five Years Old,31
2016,3-Arlington,Male,Anglo,No,Six to Twelve Years Old,15
2016,3-Arlington,Male,Anglo,No,Thirteen to Eighteen Years Old,4
2016,3-Arlington,Male,Asian,No,Birth to Five Years Old,2
2016,3-Arlington,Male,Hispanic,Yes,Birth to Five Years Old,24
2016,3-Arlington,Male,Hispanic,Yes,Six to Twelve Years Old,19
2016,3-Arlington,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,5
2016,3-Arlington,Male,Hispanic,No,Birth to Five Years Old,66
2016,3-Arlington,Male,Hispanic,No,Six to Twelve Years Old,26
2016,3-Arlington,Male,Hispanic,No,Thirteen to Eighteen Years Old,12
2016,3-Arlington,Male,Native American,No,Six to Twelve Years Old,2
2016,3-Arlington,Male,Other,No,Birth to Five Years Old,20
2016,3-Arlington,Male,Other,No,Six to Twelve Years Old,12
2016,4-Tyler,Female,African American,Yes,Birth to Five Years Old,2
2016,4-Tyler,Female,African American,Yes,Thirteen to Eighteen Years Old,2
2016,4-Tyler,Female,African American,No,Birth to Five Years Old,7
2016,4-Tyler,Female,Anglo,Yes,Birth to Five Years Old,60
2016,4-Tyler,Female,Anglo,Yes,Six to Twelve Years Old,30
2016,4-Tyler,Female,Anglo,Yes,Thirteen to Eighteen Years Old,7
2016,4-Tyler,Female,Anglo,No,Birth to Five Years Old,8
2016,4-Tyler,Female,Hispanic,Yes,Birth to Five Years Old,2
2016,4-Tyler,Female,Hispanic,Yes,Six to Twelve Years Old,1
2016,4-Tyler,Female,Hispanic,No,Birth to Five Years Old,13
2016,4-Tyler,Female,Hispanic,No,Six to Twelve Years Old,7
2016,4-Tyler,Female,Hispanic,No,Thirteen to Eighteen Years Old,3
2016,4-Tyler,Female,Other,No,Birth to Five Years Old,16
2016,4-Tyler,Female,Other,No,Six to Twelve Years Old,2
2016,4-Tyler,Female,Other,No,Thirteen to Eighteen Years Old,1
2016,4-Tyler,Male,African American,Yes,Birth to Five Years Old,6
2016,4-Tyler,Male,African American,No,Birth to Five Years Old,11
2016,4-Tyler,Male,African American,No,Six to Twelve Years Old,1
2016,4-Tyler,Male,Anglo,Yes,Birth to Five Years Old,79
2016,4-Tyler,Male,Anglo,Yes,Six to Twelve Years Old,31
2016,4-Tyler,Male,Anglo,Yes,Thirteen to Eighteen Years Old,7
2016,4-Tyler,Male,Anglo,No,Birth to Five Years Old,9
2016,4-Tyler,Male,Anglo,No,Six to Twelve Years Old,1
2016,4-Tyler,Male,Hispanic,Yes,Birth to Five Years Old,2
2016,4-Tyler,Male,Hispanic,No,Birth to Five Years Old,8
2016,4-Tyler,Male,Hispanic,No,Six to Twelve Years Old,7
2016,4-Tyler,Male,Other,No,Birth to Five Years Old,15
2016,4-Tyler,Male,Other,No,Six to Twelve Years Old,8
2016,5-Beaumont,Female,African American,Yes,Birth to Five Years Old,10
2016,5-Beaumont,Female,African American,Yes,Six to Twelve Years Old,12
2016,5-Beaumont,Female,African American,Yes,Thirteen to Eighteen Years Old,2
2016,5-Beaumont,Female,African American,No,Birth to Five Years Old,3
2016,5-Beaumont,Female,Anglo,Yes,Birth to Five Years Old,21
2016,5-Beaumont,Female,Anglo,Yes,Six to Twelve Years Old,10
2016,5-Beaumont,Female,Anglo,Yes,Thirteen to Eighteen Years Old,4
2016,5-Beaumont,Female,Anglo,No,Birth to Five Years Old,5
2016,5-Beaumont,Female,Anglo,No,Six to Twelve Years Old,3
2016,5-Beaumont,Female,Anglo,No,Thirteen to Eighteen Years Old,1
2016,5-Beaumont,Female,Hispanic,No,Birth to Five Years Old,6
2016,5-Beaumont,Female,Hispanic,No,Six to Twelve Years Old,2
2016,5-Beaumont,Female,Other,No,Birth to Five Years Old,4
2016,5-Beaumont,Female,Other,No,Six to Twelve Years Old,1
2016,5-Beaumont,Male,African American,Yes,Birth to Five Years Old,14
2016,5-Beaumont,Male,African American,Yes,Six to Twelve Years Old,5
2016,5-Beaumont,Male,African American,Yes,Thirteen to Eighteen Years Old,3
2016,5-Beaumont,Male,African American,No,Birth to Five Years Old,6
2016,5-Beaumont,Male,Anglo,Yes,Birth to Five Years Old,25
2016,5-Beaumont,Male,Anglo,Yes,Six to Twelve Years Old,9
2016,5-Beaumont,Male,Anglo,Yes,Thirteen to Eighteen Years Old,3
2016,5-Beaumont,Male,Anglo,No,Birth to Five Years Old,2
2016,5-Beaumont,Male,Anglo,No,Six to Twelve Years Old,8
2016,5-Beaumont,Male,Anglo,No,Thirteen to Eighteen Years Old,2
2016,5-Beaumont,Male,Hispanic,No,Birth to Five Years Old,4
2016,5-Beaumont,Male,Hispanic,No,Six to Twelve Years Old,2
2016,5-Beaumont,Male,Hispanic,No,Thirteen to Eighteen Years Old,2
2016,5-Beaumont,Male,Other,No,Birth to Five Years Old,4
2016,5-Beaumont,Male,Other,No,Six to Twelve Years Old,2
2016,6-Houston,Female,African American,Yes,Birth to Five Years Old,82
2016,6-Houston,Female,African American,Yes,Six to Twelve Years Old,49
2016,6-Houston,Female,African American,Yes,Thirteen to Eighteen Years Old,28
2016,6-Houston,Female,African American,No,Birth to Five Years Old,18
2016,6-Houston,Female,African American,No,Six to Twelve Years Old,10
2016,6-Houston,Female,Anglo,Yes,Birth to Five Years Old,51
2016,6-Houston,Female,Anglo,Yes,Six to Twelve Years Old,33
2016,6-Houston,Female,Anglo,Yes,Thirteen to Eighteen Years Old,10
2016,6-Houston,Female,Anglo,No,Birth to Five Years Old,14
2016,6-Houston,Female,Anglo,No,Six to Twelve Years Old,12
2016,6-Houston,Female,Anglo,No,Thirteen to Eighteen Years Old,2
2016,6-Houston,Female,Hispanic,Yes,Birth to Five Years Old,35
2016,6-Houston,Female,Hispanic,Yes,Six to Twelve Years Old,25
2016,6-Houston,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,4
2016,6-Houston,Female,Hispanic,No,Birth to Five Years Old,56
2016,6-Houston,Female,Hispanic,No,Six to Twelve Years Old,27
2016,6-Houston,Female,Hispanic,No,Thirteen to Eighteen Years Old,6
2016,6-Houston,Female,Other,No,Birth to Five Years Old,26
2016,6-Houston,Female,Other,No,Six to Twelve Years Old,3
2016,6-Houston,Female,Other,No,Thirteen to Eighteen Years Old,2
2016,6-Houston,Male,African American,Yes,Birth to Five Years Old,71
2016,6-Houston,Male,African American,Yes,Six to Twelve Years Old,45
2016,6-Houston,Male,African American,Yes,Thirteen to Eighteen Years Old,23
2016,6-Houston,Male,African American,No,Birth to Five Years Old,30
2016,6-Houston,Male,African American,No,Six to Twelve Years Old,9
2016,6-Houston,Male,African American,No,Thirteen to Eighteen Years Old,1
2016,6-Houston,Male,Anglo,Yes,Birth to Five Years Old,46
2016,6-Houston,Male,Anglo,Yes,Six to Twelve Years Old,26
2016,6-Houston,Male,Anglo,Yes,Thirteen to Eighteen Years Old,13
2016,6-Houston,Male,Anglo,No,Birth to Five Years Old,13
2016,6-Houston,Male,Anglo,No,Six to Twelve Years Old,9
2016,6-Houston,Male,Anglo,No,Thirteen to Eighteen Years Old,4
2016,6-Houston,Male,Hispanic,Yes,Birth to Five Years Old,37
2016,6-Houston,Male,Hispanic,Yes,Six to Twelve Years Old,16
2016,6-Houston,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,4
2016,6-Houston,Male,Hispanic,No,Birth to Five Years Old,49
2016,6-Houston,Male,Hispanic,No,Six to Twelve Years Old,26
2016,6-Houston,Male,Hispanic,No,Thirteen to Eighteen Years Old,6
2016,6-Houston,Male,Native American,No,Birth to Five Years Old,1
2016,6-Houston,Male,Other,No,Birth to Five Years Old,21
2016,6-Houston,Male,Other,No,Six to Twelve Years Old,9
2016,6-Houston,Male,Other,No,Thirteen to Eighteen Years Old,1
2016,7-Austin,Female,African American,Yes,Birth to Five Years Old,32
2016,7-Austin,Female,African American,Yes,Six to Twelve Years Old,14
2016,7-Austin,Female,African American,Yes,Thirteen to Eighteen Years Old,1
2016,7-Austin,Female,African American,No,Birth to Five Years Old,11
2016,7-Austin,Female,African American,No,Six to Twelve Years Old,8
